domain,severity,reject_media,reject_reports,public_comment,obfuscate
3utilities.com,suspend,False,False,,False
access.ly,suspend,False,False,,False
blogsyte.com,suspend,False,False,,False
bounceme.net,suspend,False,False,,False
brasilia.me,suspend,False,False,,False
cable-modem.org,suspend,False,False,,False
changeip.com,suspend,False,False,,False
ciscofreak.com,suspend,False,False,,False
collegefan.org,suspend,False,False,,False
couchpotatofries.org,suspend,False,False,,False
damnserver.com,suspend,False,False,,False
ddns.me,suspend,False,False,,False
ddns.net,suspend,False,False,,False
ddnsfree.com,suspend,False,False,,False
ddnsgeek.com,suspend,False,False,,False
ddnsking.com,suspend,False,False,,False
ddnss.de,suspend,False,False,,False
ddnss.eu,suspend,False,False,,False
ddnss.net,suspend,False,False,,False
ddnss.org,suspend,False,False,,False
ditchyourip.com,suspend,False,False,,False
dnsfor.me,suspend,False,False,,False
dnsiskinky.com,suspend,False,False,,False
duckdns.org,suspend,False,False,,False
dvrcam.info,suspend,False,False,,False
dyndns.it,suspend,False,False,,False
dyndns.org,suspend,False,False,,False
dynns.com,suspend,False,False,,False
eating-organic.net,suspend,False,False,,False
fantasyleague.cc,suspend,False,False,,False
freedynamicdns.net,suspend,False,False,,False
freedynamicdns.org,suspend,False,False,,False
geekgalaxy.com,suspend,False,False,,False
golffan.us,suspend,False,False,,False
gotdns.ch,suspend,False,False,,False
health-carereform.com,suspend,False,False,,False
homesecuritymac.com,suspend,False,False,,False
homesecuritypc.com,suspend,False,False,,False
hopto.me,suspend,False,False,,False
hopto.org,suspend,False,False,,False
hosthampster.com,suspend,False,False,,False
ilovecollege.info,suspend,False,False,,False
ipstatico.pro,suspend,False,False,,False
line.pm,suspend,False,False,,False
linkpc.net,suspend,False,False,,False
loginto.me,suspend,False,False,,False
mlbfan.org,suspend,False,False,,False
mmafan.biz,suspend,False,False,,False
myactivedirectory.com,suspend,False,False,,False
myddns.me,suspend,False,False,,False
mydissent.net,suspend,False,False,,False
myeffect.net,suspend,False,False,,False
myftp.biz,suspend,False,False,,False
myftp.org,suspend,False,False,,False
mymediapc.net,suspend,False,False,,False
mypsx.net,suspend,False,False,,False
mysecuritycamera.com,suspend,False,False,,False
mysecuritycamera.net,suspend,False,False,,False
mysecuritycamera.org,suspend,False,False,,False
myvnc.com,suspend,False,False,,False
net-freaks.com,suspend,False,False,,False
nflfan.org,suspend,False,False,,False
nhlfan.net,suspend,False,False,,False
noho.st,suspend,False,False,,False
nohost.me,suspend,False,False,,False
noip.at,suspend,False,False,,False
noip.me,suspend,False,False,,False
onthewifi.com,suspend,False,False,,False
pgafan.net,suspend,False,False,,False
point2this.com,suspend,False,False,,False
pointto.us,suspend,False,False,,False
privatizehealthinsurance.net,suspend,False,False,,False
publicvm.com,suspend,False,False,,False
quicksytes.com,suspend,False,False,,False
read-books.org,suspend,False,False,,False
redirectme.net,suspend,False,False,,False
run.place,suspend,False,False,,False
securitytactics.com,suspend,False,False,,False
servebeer.com,suspend,False,False,,False
serveblog.net,suspend,False,False,,False
servecounterstrike.com,suspend,False,False,,False
serveexchange.com,suspend,False,False,,False
serveftp.com,suspend,False,False,,False
servegame.com,suspend,False,False,,False
servehalflife.com,suspend,False,False,,False
servehttp.com,suspend,False,False,,False
servehumour.com,suspend,False,False,,False
serveirc.com,suspend,False,False,,False
serveminecraft.net,suspend,False,False,,False
servemp3.com,suspend,False,False,,False
servep2p.com,suspend,False,False,,False
servepics.com,suspend,False,False,,False
servequake.com,suspend,False,False,,False
servesarcasm.com,suspend,False,False,,False
stufftoread.com,suspend,False,False,,False
sytes.net,suspend,False,False,,False
ufcfan.org,suspend,False,False,,False
unusualperson.com,suspend,False,False,,False
viewdns.net,suspend,False,False,,False
webhop.me,suspend,False,False,,False
work.gd,suspend,False,False,,False
workisboring.com,suspend,False,False,,False
ydns.io,suspend,False,False,,False
ynh.fr,suspend,False,False,,False
zapto.org
