domain,severity,reject_media,reject_reports,public_comment,obfuscate
433.world,suspend,False,False,,False
500plus.slavistapl.eu.org,suspend,False,False,,False
about.iftas.org,suspend,False,False,,False
abunchtell.com,suspend,False,False,,False
activityrelay.beep.computer,suspend,False,False,,False
adulthood.lol,suspend,False,False,,False
afterspace.rocks,suspend,False,False,,False
ailbhean.co-shaoghal.net,suspend,False,False,,False
akko.chir.rs,suspend,False,False,,False
akko.disqordia.space,suspend,False,False,,False
akkoma.0x68756773.moe,suspend,False,False,,False
akkoma.marud.fr,suspend,False,False,,False
akkoma.net.eu.org,suspend,False,False,,False
akkoma.nrd.li,suspend,False,False,,False
akkoma.riley-tech.net,suspend,False,False,,False
alaskan.social,suspend,False,False,,False
amenti.eu.org,suspend,False,False,,False
anarkis.net,suspend,False,False,,False
anarres.family,suspend,False,False,,False
antabaka.me,suspend,False,False,,False
antani.pm,suspend,False,False,,False
anticapitalist.party,suspend,False,False,,False
aoir.social,suspend,False,False,,False
apobangpo.space,suspend,False,False,,False
ap.remote-shell.net,suspend,False,False,,False
ard.social,suspend,False,False,,False
arff.archandle.net,suspend,False,False,,False
argon.city,suspend,False,False,,False
arquivoufo.com.br,suspend,False,False,,False
artisan.chat,suspend,False,False,,False
asbestos.cafe,suspend,False,False,,False
asso.lgbt,suspend,False,False,,False
astolfo.social,suspend,False,False,,False
astronomy.city,suspend,False,False,,False
asylum.nz,suspend,False,False,,False
a.tela.moe,suspend,False,False,,False
aus.social,suspend,False,False,,False
avatastic.uk,suspend,False,False,,False
avery.garden,suspend,False,False,,False
avpd.social,suspend,False,False,,False
awkward.company,suspend,False,False,,False
awoo.fai.st,suspend,False,False,,False
awwter.online,suspend,False,False,,False
babka.social,suspend,False,False,,False
banjo.town,suspend,False,False,,False
bantu.social,suspend,False,False,,False
bark.lgbt,suspend,False,False,,False
barkshark.xyz,suspend,False,False,,False
bawue.social,suspend,False,False,,False
beach.city,suspend,False,False,,False
beaware.live,suspend,False,False,,False
beehaw.org,suspend,False,False,,False
beep.computer,suspend,False,False,,False
benedikts.social,suspend,False,False,,False
berlin.social,suspend,False,False,,False
birb.site,suspend,False,False,,False
birb.space,suspend,False,False,,False
birdsite.blahaj.social,suspend,False,False,,False
birdsite.joeydrew.studio,suspend,False,False,,False
bird.zerojay.com,suspend,False,False,,False
biscuit.town,suspend,False,False,,False
bitcast.info,suspend,False,False,,False
blackqueer.life,suspend,False,False,,False
bladerunner.social,suspend,False,False,,False
blahaj.eu,suspend,False,False,,False
blahaj.finch.ink,suspend,False,False,,False
blahaj.gg,suspend,False,False,,False
blahaj.pics,suspend,False,False,,False
